"year"	"results"
1940	1270
1941	1020
1942	985
1943	1110
1944	1190
1945	1140
1946	1250
1947	1370
1948	1570
1949	1860
1950	2060
1951	2060
1952	2280
1953	2250
1954	2650
1955	2820
1956	2680
1957	3220
1958	3480
1959	3690
1960	4350
1961	4230
1962	4430
1963	4840
1964	5230
1965	5680
1966	6200
1967	6430
1968	7780
1969	7550
1970	9890
1971	9510
1972	9790
1973	10500
1974	10900
1975	10600
1976	11200
1977	12600
1978	13700
1979	14600
1980	15900
1981	17200
1982	18100
1983	19000
1984	20200
1985	21700
1986	24100
1987	27300
1988	30600
1989	35400
1990	43500
1991	47700
1992	49900
1993	64600
1994	64900
1995	84700
1996	96800
1997	111000
1998	116000
1999	137000
2000	174000
2001	192000
2002	209000
2003	253000
2004	290000
2005	322000
2006	344000
2007	476000
2008	503000
2009	681000
2010	701000
2011	717000
2012	597000
2013	546000
